instruction,input,output
กระบวนการผลิต และผลิตภัณฑ์  รายละเอียดของโรงไฟฟ้าชีวมวล  การเผาไหม้แบบ Spreader Stoker แบ่งออกได้เป็น 3 แบบ ดังนี้  ,,"(1) การเผาไหม้แบบลอยตัวสมบูรณ์ (Pure Suspension Firing) คือ การพ่นเชื้อเพลิง ขนาดเล็กที่มีขนาดเล็กกว่า 1.5 มิลลิเมตร ละมีความชื้นต่ํากว่า 10% เข้าไปในเตาเผาและมีการเผาไหม้กลาง อากาศระบบนี้เหมาะกับเชื้อเพลิง เช่น ขี้เลื่อยแห้ง  
(2) การเผาไหม้แบบกึ่งลอยตัว (Partial Suspension Firing) คือการพ่นเชื้อเพลิงที่มี ขนาดปานกลางประมาณ 25-50 มม. และมีความชื้นสูงปานกลาง 60% เข้าไปในเตาเผา เชื้อเพลิงบางส่วน จะเผาไหม้กลางอากาศ และเชื้อเพลิงที่เหลือจะเผาไหม้บนตะกรับ(Grate)ระบบนี้มีการใช้อย่างแพร่หลาย และเป็นระบบที่ใช้มากที่สุดสําหรับการเผามวลชีวภาพ สําหรับตะกรับแบบสั่นที่หล่อเย็นด้วยน้ํา(Water cooled Vibrating Grate) จะเหมาะสมกับเชื้อเพลิงที่มีความสูงและตะกรับเคลื่อนที่ได้(Traveling Grate) จะเหมาสมอย่างยิ่งกับเถ้าที่มีโอกาสหลอมละลายหรือจับตัวบนตะกรับ(Slagging) 
(3) การเผาไหม้แบบกองบนตะกรับ(Mass Burn)คือการนําเชื้อเพลิงที่มีขนาดใหญ่และมี ความชื้นสูงมากเข้าไปในเตาเผา เชื้อเพลิงทั้งหมดจะเผาไหม้บนตะกรับเหมาะสําหรับเชื้อเพลิงที่มีความสูง มาก เช่น ขยะ โดยตะกรับของระบบนี้จะเป็นแบบตะกรับแบบลูกสูบ (Positive-Displacement Grate)และ ตะกรับเอียง(Sloping or Inclined Grate)  "
กระบวนการผลิต และผลิตภัณฑ์  รายละเอียดของโรงไฟฟ้าชีวมวล  3) กังหันไอน้ําและเครื่องกําเนิดไฟฟ้า  ,,"กังหันไอน้ําและเครื่องกําเนิดไฟฟ้าจะประกอบด้วย Condensing Steam turbine , Generator  และ Exciter Reduction Gear วาล์วปิด และวาล์วควบคุมไอน้ํา Electro-Hydraulic Speed Control  และระบบควบคุมไอน้ํา ระบบควบคุมน้ํามันเชื้อเพลิง ระบบควบคุมน้ํามันหล่อลื่น และระบบป้องกันด้าน ความปลอดภัย  
ไอน้ําที่ผ่านเครื่องควบแน่น (Condenser) จะถูกกลั่นตัวเป็นน้ํานํากลับมาใช้ในกระบวนการอีกนั้น ได้มาจากไอน้ําที่ผ่านกังหันแล้ว จะมีความดันลดลงเหลือ 0.1 Bar โดยอุณหภูมิของน้ําที่ส่งไปหล่อเย็นใน เครื่องควบแน่นจะถูกควบแน่นให้ลดลงด้วยระบบการทํางานของหอหล่อเย็น(Cooling Tower)   "
กระบวนการผลิต และผลิตภัณฑ์  รายละเอียดของโรงไฟฟ้าชีวมวล  4) ระบบจัดเก็บเชื้อเพลิง  ,,ระบบจัดเก็บเชื้อเพลิงหลักของโครงการสามารถรับเชื้อเพลิง (ชานอ้อย) จากบริษัท เกษตรไทยอุตสากรรม น้ําตาล จํากัด เข้าสู่เตาหม้อไอน้ําได้โดยตรง จากระบบสายพานลําเลียง  
กระบวนการผลิต และผลิตภัณฑ์  รายละเอียดของโรงไฟฟ้าชีวมวล  ระบบเก็บและรวบรวมเถ้า  ,,"เถ้าที่เกิดขึ้นแยกเป็น 2 ประเภท คือ เถ้าขนาดเล็ก น้ําหนักเบาหรือเถ้าลอย(Fly Ash)และเถ้าขนาด ใหญ่หรือเถ้าหนัก (Bottom Ash) เถ้าขนาดเล็กได้จากขบวนการแยกฝุ่นออกจากก๊าซร้อนที่ได้จากการเผา ไหม้เชื้อเพลิงก่อนปล่อยออกสู่บรรยากาศ โดยใช้วิธีการดักฝุ่นหรือการแยกฝุ่นโดยใช้ระบบไฟฟ้าสถิต(ESP)  ส่วนเถ้าขนาดใหญ่ ที่เกิดขึ้นจะตกลงสู่อ่างน้ําเพื่อลดอุณหภูมิและการฟุ้งกระจายและถูกลําเลียงโดย  Bottom Ash Conveyor สู่บ่อตกตะกอนน้ําขี้เถ้า จํานวน 2 บ่อ ขนาด 1,600 ลูกบาศก์เมตร โดยเมื่อมี ปริมาณน้ําเต็มบ่อแล้ว จะสูบน้ําด้านบนวนกลับไปใช้พรมขี้เถ้าต่อไป ส่วนขี้เถ้าด้านล่างที่ตกตะกอนจะมีรถมา ตักขี้เถ้าออกไปซึ่งขี้เถ้าของโครงการทั้งหมดจะถูกส่งให้กับชาวไร่อ้อยและเกษตรกรเพื่อนําไปใช้เป็นสาร ปรับปรุงคุณภาพดินต่อไป  "
กระบวนการผลิต และผลิตภัณฑ์  รายละเอียดของโรงไฟฟ้าชีวมวล  ระบบหล่อเย็น  ,,"ระบบหล่อเย็นจะติดตั้งเพื่อช่วยลดอุณหภูมิของเครื่องควบแน่นไอน้ํา และอุปกรณ์ในการ แลกเปลี่ยนความร้อนอื่นๆ น้ําหล่อเย็นสําหรับเครื่องควบแน่นนี้จะถูกจ่ายโดยระบบน้ําหมุนเวียน สําหรับน้ํา ที่สูญเสียไปจากการระเหยที่หอหล่อเย็นนี้จะทดแทนโดยน้ําจากระบบน้ําดิบที่ผ่านการปรับสภาพน้ํา ระบบ หล่อเย็นของโครงการผลิตไฟฟ้าชีวมวลจากชานอ้อย เป็นการระบายความร้อนโดยหอระบายความร้อน  
 หลักการของระบบหล่อเย็น คือ ทําให้มีหยดน้ําขนาดเล็กกระจายตัวไปในบริเวณพื้นที่หอหล่อเย็น  ซึ่งจะทําให้อุณหภูมิและพลังงานของน้ําลดลง ทั้งนี้วิธีการใช้พัดลมในหอหล่อเย็นเพื่อดูดอากาศเข้าหาหยดน้ํา  ช่วยให้อากาศถ่ายเทและทําให้น้ําเย็นเร็วขึ้น  
ในการออกแบบนั้น Cooling Tower ได้ถูกกําหนดให้เพื่อทํางานภายใต้สภาพอุณหภูมิที่เลวร้าย ที่สุดได้ เพื่อให้สามารถทํางานรักษาอุณหภูมิน้ําทิ้งไม่ให้เกินค่ามาตรฐานน้ําทิ้งจากโรงงานอุตสาหกรรม  7) ระบบไฟฟ้าและระบบควบคุมอัตโนมัติ"
กระบวนการผลิต และผลิตภัณฑ์  รายละเอียดของโรงไฟฟ้าชีวมวล  ระบบไฟฟ้า  ,,กระแสไฟฟ้าที่โครงการผลิตได้จะเชื่อมต่อกับระบบโครงข่ายสายส่งไฟฟ้า 115 kV ของ การไฟฟ้าส่วนภูมิภาคที่ผ่านหน้าโรงงาน โดยใช้ไฟ 3 เฟสที่มีหม้อแปลงติดตั้งภายใน Sub-station ซึ่ง สามารถแปลงแรงดันไฟฟ้าขนาด 115/22/11 kV ทั้งนี้โครงการจะเชื่อมต่อกับสายส่งไฟฟ้าขนาด 115 kV ที่ อยู่ใกล้ที่สุด ระยะทางประมาณ 25 กิโลเมตร ในกรณีที่มีเหตุจําเป็น เช่น ทดสอบเดินเครื่องและช่วงระหว่าง การซ่อมบํารุง จําเป็นต้องขอใช้ไฟฟ้าจากการไฟฟ้าส่วนภูมิภาค  
กระบวนการผลิต และผลิตภัณฑ์  รายละเอียดของโรงไฟฟ้าชีวมวล  ระบบควบคุมอัตโนมัติ  ,,ระบบควบคุมอัตโนมัตินี้จะถูกนํามาใช้เพื่อให้เกิดความมั่นคงของระบบ รวมถึงช่วยให้เกิด การประหยัดด้านกําลังคนในโครงการ ที่สําคัญอีกประการหนึ่ง คือ การผลิตพลังงานไฟฟ้าอย่างสม่ําเสมอให้  กฟผ. ภายใต้สัญญาซื้อขายไฟฟ้า ระบบควบคุมส่วนใหญ่จะควบคุมโดยตรงจากห้องควบคุมผ่านโทรทัศน์วงจรปิด ระบบ ควบคุมนี้จะใช้คอมพิวเตอร์แบบ DCS (Distributed Control Sytem)ในการควบคุม และตรวจสอบการ ทํางานของระบบและอุปกรณ์หลักของโรงไฟฟ้าทั้งหมดได้อย่างต่อเนื่องตลอดเวลา   แสดงแผนผังการจ่ายไฟ ดังรูปที่ 2-12
กระบวนการผลิต และผลิตภัณฑ์  รายละเอียดของโรงไฟฟ้าชีวมวล  8) ระบบระบายน้ํา  ,,"ระบบระบายน้ําภายในโครงการถูกแยกเป็น 2 ระบบได้แก่  
(1) รางระบายน้ําฝน น้ําฝนบริเวณพื้นที่โรงไฟฟ้า เช่น อาคาร Turbine, Boiler, Cooling  Tower, และ Office เป็นต้น จะถูกรวบรวม โดยรางระบายน้ําและไหลลงสู่บ่อน้ําดิบของโรงงานน้ําตาลเพื่อ กักเก็บไว้ใช้เป็นน้ําดิบต่อไป  
(2) รางระบายน้ําเสีย น้ําเสียจากการ Blow down น้ําจาก Boiler, น้ํา drain ตะกอน จาก Cooling Tower และน้ําเสียที่เกิดจากพนักงานจะถูกรวบรวมโดยรางระบายน้ําเสียและไหลลงสู่บ่อ บําบัดน้ําเสียของโครงการ "
กระบวนการผลิต และผลิตภัณฑ์  ผลิตภัณฑ์  ,,"มีกําลังการผลิตกระแสไฟฟ้าขนาด 60 เมกกะวัตต์ โดย Turbine Generator ขนาด 60 เมกกะ วัตต์ 1 ชุด ที่ระดับแรงดัน 11 KV จําหน่ายไฟฟ้าให้การไฟฟ้าฝ่ายผลิตแห่งประเทศไทยโดยเชื่อมโยงผ่าน ระบบสายส่ง 115 KV ของการไฟฟ้าส่วนภูมิภาค ซึ่งจ่ายผ่านหม้อแปลงแรงดัน (Power Transformer)  ขนาด 75 MVA 115/22/11 KV  
 สําหรับ Turbine Generator ขนาด 60 เมกกะวัตต์ เป็นแบบ Extraction & Condensing  Turbine คือสามารถทํางานได้ 2 แบบ เพื่อให้ได้ประสิทธิภาพในเชิงความร้อนมากที่สุด โดยแบ่งลักษณะการ ทํางานตามช่วงฤดูการผลิตเป็น 2 ช่วง คือ ฤดูการผลิตน้ําตาลและฤดูซ่อมแซมของโรงงานน้ําตาล ซึ่งมี รายละเอียด ดังนี้  
 1) ฤดูการผลิตน้ําตาล แบ่งเป็น 2 ช่วง คือ  
 (1) ฤดูหีบอ้อย Turbine Generator ทํางานแบบ Extraction ผลิตไฟฟ้าได้ 42.5 เมกกะ วัตต์ และมี Extraction Steam 2 kg/cm2 จ่ายให้กับโรงงานน้ําตาล เพื่อใช้ในกระบวนการผลิตน้ําตาล  สําหรับไฟฟ้า 42.5 เมกกะวัตต์ จะจําหน่ายให้โรงงานในกลุ่มก่อน โดยแบ่งเป็น KTIS 5 เมกกะวัตต์, EPPCO  2.5 เมกกะวัตต์, EPC 1.5 เมกกะวัตต์ และใช้เองในโรงงาน 5 เมกกะวัตต์ ส่วนที่เหลือจึงจําหน่ายให้ EGAT  28.5 เมกกะวัตต์  
 (2) ฤดูละลายน้ําตาล Turbine Generator ทํางานแบบ Extraction ผลิตไฟฟ้าได้ 42.5  เมกกะวัตต์ และมี Extraction Steam 2 kg/cm2 จ่ายให้กับโรงงานน้ําตาลเหมือนฤดูหีบอ้อยแต่ไฟฟ้า 42.5  เมกกะวัตต์ จะจําหน่ายให้ KTIS 10 เมกกะวัตต์, EPPCO 2.5 เมกกะวัตต์, EPC 1.5 เมกกะวัตต์ และใช้เอง ในโรงงาน 5 เมกกะวัตต์ จึงมีส่วนที่เหลือจําหน่ายให้ EGAT 23.5 เมกกะวัตต์  
 2). ฤดูซ่อมแซมของโรงงานน้ําตาล Turbine Generator ทํางานแบบ Condensing ผลิตไฟฟ้าได้  60 เมกกะวัตต์ และมี Extraction Steam 0.1 kg/cm2 ไปผ่านระบบ Condenser และกลายเป็นน้ํา  Condensate กลับไปเป็นน้ําป้อน Boiler ส่วนไฟฟ้า 60 เมกกะวัตต์ จะจําหน่ายให้ KTIS 1.5 เมกกะวัตต์,  EPPCO 2.5 เมกกะวัตต์, EPC 1.5 เมกกะวัตต์ และใช้เองในโรงงาน 5 เมกกะวัตต์ ดังนั้นในช่วงนี้จะมี ปริมาณไฟฟ้าเหลือจ่ายให้ EGAT มากที่สุด 49.5 เมกกะวัตต์ "
กระบวนการผลิต และผลิตภัณฑ์  พื้นที่ลานกองชานอ้อยและมาตรการจัดการด้านสิ่งแวดล้อม  ,,"โครงการจะใช้ชานอ้อยซึ่งทางบริษัท เกษตรไทยอุตสาหกรรมน้ําตาล จํากัด เป็นผู้จัดส่งให้ผ่าน ระบบสายพานลําเลียงแบบปิดมาจากลานกองเก็บชานอ้อย (ดังรูปที่ 2-13) ซึ่งอยู่ในพื้นที่ของบริษัท เกษตร ไทยอุตสาหกรรมน้ําตาล จํากัด ดังนั้น ผู้ดูแลรับผิดชอบการจัดการลานกองเก็บชานอ้อยจึงเป็นหน้าที่ของ บริษัท เกษตรไทยอุตสาหกรรมน้ําตาล จํากัด  
ลานกองเก็บชานอ้อยของบริษัท เกษตรไทยอุตสาหกรรมน้ําตาล จํากัด เป็นลานคอนกรีตเปิดโล่ง มี การกองเก็บชานอ้อยทั้งหมด 4 กอง ลักษณะการกองเป็นทรงสี่เหลี่ยมคางหมู (ดังรูปที่ 2-14) มีความลาด ชันด้านข้างเท่ากับ 60 องศา และแต่ละกองกําหนดให้มีความสูงไม่เกิน 20 เมตร "
กระบวนการผลิต และผลิตภัณฑ์  พื้นที่ลานกองชานอ้อยและมาตรการจัดการด้านสิ่งแวดล้อม  พื้นที่การกองเก็บทั้งหมด มีดังนี้  ,,"พื้นที่การกองเก็บทั้งหมด มีดังนี้  
- กองที่ 1 มีพื้นที่ เท่ากับ 41,952 ตารางเมตร  
- กองที่ 2 มีพื้นที่ เท่ากับ 17,520 ตารางเมตร  
- กองที่ 3 มีพื้นที่ เท่ากับ 14,500 ตารางเมตร  
- กองที่ 4 มีพื้นที่ เท่ากับ 8,989 ตารางเมตร  
ดังนั้น พื้นที่ของลานกองเก็บชานอ้อยรวมทั้งหมด = 41,952 + 17,520 + 14,500 + 8,989 ตารางเมตร  = 82,961 ตารางเมตร  
 = 51.85 ไร่  และมีพื้นที่ของลานกองเก็บชานอ้อยส่วนที่เป็นอาคารซึ่งอยู่ในพื้นที่ของลานกองเก็บชานอ้อยกองที่ 1  (ดังรูปที่ 2-13) เท่ากับ 2.03 ไร่  
ปริมาณชานอ้อยที่สามารถเก็บกองได้ มีดังนี้  
- กองที่ 1 มีปริมาตรในการเก็บกอง เท่ากับ 743,544.58 ลูกบาศก์เมตร  
- กองที่ 2 มีปริมาตรในการเก็บกอง เท่ากับ 276,557.27 ลูกบาศก์เมตร  
- กองที่ 3 มีปริมาตรในการเก็บกอง เท่ากับ 236,885.20 ลูกบาศก์เมตร  
- กองที่ 4 มีปริมาตรในการเก็บกอง เท่ากับ 139,410.47 ลูกบาศก์เมตร  
ดังนั้น ปริมาตรในการเก็บกองรวมทั้ง 4 กอง = 743,544.58 + 276,557.27 + 236,885.20 + 139,410.47   = 1,396,397.52 ลูกบาศก์เมตร  
เมื่อ Bulk Density ของชานอ้อย = 120 กิโลกรัม/ลูกบาศก์เมตร  
(ที่มา : องค์ประกอบของชีวมวลที่มีผลต่อการผลิตไฟฟ้า, มูลนิธิพลังงานเพื่อสิ่งแวดล้อม)  ดังนั้น จะสามารถกองเก็บชานอ้อยได้ = 1,396,397.52 ลูกบาศก์เมตร x 120 กิโลกรัม/ลูกบาศก์เมตร x 10-3 = 167,567.70 ตัน  
แต่ในสภาพความเป็นจริงทางบริษัท เกษตรไทยอุตสาหกรรมน้ําตาล จํากัด ได้มีการดําเนินการพรม น้ําและใช้รถแทรคเตอร์บดอัดชานอ้อย ทําให้ประมาณการได้ว่าสามารถเพิ่ม Bulk Density ได้ เท่ากับ 200  กิโลกรัม/ลูกบาศก์เมตร  
ดังนั้น จะสามารถกองเก็บชานอ้อยได้ = 1,396,397.52 ลูกบาศก์เมตร x 200 กิโลกรัม/ลูกบาศก์เมตร x 10-3 = 279,279.50 ตัน  
 เมื่อสิ้นสุดฤดูหีบอ้อยแล้วจะมีปริมาณชานอ้อยเหลือกองเก็บบริเวณลานกองเก็บชานอ้อยเท่ากับ  225,000 ตัน จะเห็นได้ว่าลานกองเก็บชานอ้อยที่ทางบริษัท เกษตรไทยอุตสาหกรรมน้ําตาล จํากัด เตรียมไว้  สามารถรองรับชานอ้อยที่เหลือได้อย่างเพียงพอ 
สําหรับมาตรการจัดการด้านสิ่งแวดล้อมบริเวณพื้นที่ลานกองเก็บชานอ้อยของบริษัท เกษตรไทย อุตสาหกรรมน้ําตาล จํากัด ได้มีการกําหนดมาตรการป้องกันฯ โดยพิจารณาทิศทางลมหลักในบริเวณพื้นที่ ลานกองเก็บชานอ้อยและพื้นที่อ่อนไหวที่อยู่ใกล้เคียงมีรายละเอียดดังนี้  
ทิศทางลมที่สําคัญคือ ลมที่พัดมาจากทางทิศใต้ในช่วงเดือนกุมภาพันธ์ถึงเดือนพฤษภาคมและเดือน กันยายน ส่วนในช่วงเดือนมิถุนายนถึงเดือนสิงหาคมลมจะพัดมาจากทางทิศใต้และตะวันตกเฉียงใต้ ส่วน เดือนตุลาคมถึงเดือนธันวาคม ลมจะพัดมาจากทางทิศตะวันออกเฉียงเหนือ เดือนมกราคมลมจะพัดมาจาก ทางทิศตะวันออกและตะวันออกเฉียงเหนือ ความเร็วลมเฉลี่ยในแต่ละเดือนมีค่าอยู่ในช่วง 1.2-4.5 นอต และ ความเร็วลมสูงสุดมีค่าเท่ากับ 50 นอต ซึ่งตรวจวัดได้ในเดือนเมษายน (ที่มา: ข้อมูลจากสถิติภูมิอากาศใน คาบ 30 ปี (พ.ศ.2523-2552) ของสถานีตรวจวัดอากาศ จ.นครสวรรค์)  
จากข้อมูลจะเห็นได้ว่าลมจะพัดมา 2 ทิศทางซึ่งตรงกันข้าม ดังนั้น การจะจัดให้มีมาตรการการ ป้องกันใดๆ แค่เพียง 2 ทิศทางเท่านั้น จึงไม่เพียงพอ อันเนื่องมาจากทิศทางลมอาจมีการผันแปรได้ตาม สภาพอากาศที่แปรปรวนได้ ดังนั้นทางบริษัท เกษตรไทยอุตสาหกรรมน้ําตาล จํากัด จึงจัดให้มีมาตรการ ป้องกันอย่างครอบคลุมในทุกทิศทาง โดยรอบลานกองเก็บชานอ้อย ซึ่งสามารถป้องกันการฟุ้งกระจายได้"
กระบวนการผลิต และผลิตภัณฑ์  พื้นที่ลานกองชานอ้อยและมาตรการจัดการด้านสิ่งแวดล้อม  มาตรการป้องกันการฟุ้งกระจายของฝุ่น ละอองจากพื้นที่ลานกองเก็บชานอ้อย มีดังนี้,,"มาตรการป้องกันการฟุ้งกระจายของฝุ่น ละอองจากพื้นที่ลานกองเก็บชานอ้อย มีดังนี้  
1. การลําเลียงเชื้อเพลิงชานอ้อยด้วยระบบสายพานลําเลียงแบบปิด ป้องกันการฟุ้งกระจายระหว่าง การลําเลียงมายังลานกองเก็บชานอ้อย (ดังรูปที่ 2-15)  
2. บริเวณปลายสายพานลําเลียง ณ จุดโปรยชานอ้อยลงสู่ลานกองเก็บชานอ้อย จัดให้มีการติดตั้งที่ ครอบกันการฟุ้งกระจาย (ดังรูปที่ 2-16) ซึ่งสามารถปรับระดับความยาวตามความสูงของกองชานอ้อย โดย การใช้งาน ให้เลื่อนให้มีระยะที่เหมาะสมกับกองชานอ้อยเพื่อลดการฟุ้งกระจายของฝุ่นชานอ้อยขณะปล่อย ตกลงบนลานกองเก็บชานอ้อยให้น้อย  
3. บริเวณปลายสายพานลําเลียง มีการฉีดพ่นน้ําชานอ้อยในจุดโปรยกอง ทําให้น้ําช่วยจับฝุ่นชาน อ้อยให้ตกลงได้เร็วขึ้น (ดังรูปที่ 2-16) 4. มีโครงอาคารคลุมชานอ้อยบริเวณส่วนต่อจากเตาหม้อไอน้ําของบริษัท เกษตรไทยอุตสาหกรรม น้ําตาล จํากัด และมีการติดตั้งตาข่ายรอบโครงอาคาร สามารถช่วยลดความแรงของลม ทําให้ลดการฟุ้ง กระจายได้อีกทางหนึ่ง (ดังรูปที่ 2-17) 
5. บริเวณรอบกองชานอ้อยทั้งหมด จัดให้มีระบบหัวพ่นน้ํา (Sprinkler) ฉีดพรมกองชานอ้อย วันละ  2 ครั้ง ซึ่งจํานวนครั้งสามารถปรับเพิ่มขึ้นหรือลดลงได้ตามสถานการณ์ความเป็นจริง เช่น ในช่วงฤดูหนาว และร้อน ที่อากาศแห้ง หรือในช่วงที่มีลมแรง ทําให้สามารถลดปริมาณการฟุ้งกระจายและป้องกันการลุกติด ไฟได้เองเนื่องจากอากาศร้อน (ดังรูปที่ 2-18)  
6. จัดให้มีรางระบายน้ําล้อมรอบลานกองเก็บชานอ้อยเพื่อรองรับน้ําชะกองชานอ้อย ซึ่งมีปริมาณ ไม่มาก โดยส่วนใหญ่จะอยู่ด้านบนของกองชานอ้อยหนาเพียง 10 เซนติเมตร และจะระเหยไปเองตาม ธรรมชาติ แต่หากมีปริมาณมากหรือเกิดฝนตก น้ําจากลานกองเก็บชานอ้อยจะถูกรวบรวมจากรางระบายน้ํา เข้าสู่ระบบบําบัดน้ําเสียของบริษัท เกษตรไทยอุตสาหกรรมน้ําตาล จํากัด ต่อไป  
7. ใช้รถแทรกเตอร์บดอัดชานอ้อยให้แน่นขึ้น ทําให้ลดการฟุ้งกระจายให้น้อยลง ช่วยเพิ่มปริมาณใน การกองเก็บได้อีก และไม่ทําให้เกิดปัญหากองชานอ้อยล้มพังลงมาก่อให้เกิดอันตรายต่อพนักงานได้ (ดังรูปที่  2-19)  
8. จัดให้มีการติดตั้งตาข่ายชะลอลมและดักฝุ่น รอบบริเวณลานกองเก็บชานอ้อยสูง 22 เมตร และ ปลูกต้นสนรอบบริเวณลานกองเก็บชานอ้อยอีกชั้นหนึ่ง โดยทําการปลูกแบบสลับฟันปลา 3 แถว เพื่อชะลอ ความเร็วลมที่พัดผ่านกองชานอ้อย รวมทั้งเป็นการสร้างภูมิทัศน์ที่สวยงาม โดยปัจจุบันได้มีการปลูกต้นสน บริเวณลานกองเก็บชานอ้อยของบริษัท เกษตรไทยอุตสาหกรรมน้ําตาล จํากัด อยู่แล้ว แต่ทั้งนี้ทางบริษัท  เกษตรไทยอุตสาหกรรมน้ําตาล จํากัด จะดําเนินการปลูกต้นสนรอบลานกองเก็บชานอ้อยเพิ่มอีก 1 แถว ให้ ครบตามจํานวนต่อไป (ดังรูปที่ 2-20) "
กระบวนการผลิต และผลิตภัณฑ์  การนําเถ้าไปปรับปรุงคุณภาพดินเพื่อการเกษตร และการจัดการเถ้า  ,,"บริษัท เกษตรไทยไบโอเพาเวอร์ จํากัด จะเป็นผู้จัดการเถ้าจากโรงไฟฟ้าชีวมวล 60 เมกกะวัตต์ เอง  โดยมีแผนที่จะนําเถ้าจากชานอ้อยไปใช้ปรับปรุงคุณภาพดิน โดยจะแจกจ่ายให้เกษตรกรผู้ปลูกอ้อยของ โครงการอุตสาหกรรมน้ําตาล หรือหน่วยงานต่างๆ ที่ขอการสนับสนุน จึงได้นําผลการวิเคราะห์ (ภาคผนวก 2ง)  เถ้ามาเปรียบเทียบกับค่ามาตรฐานปุ๋ยอินทรีย์ พ.ศ.2548 ตามประกาศกรมวิชาการเกษตร (ตารางที่ 2-7)  พบว่าปริมาณธาตุอาหารประเภทไนโตรเจน ฟอสฟอรัสและโพแทสเซียมในเถ้ามีค่าต่ํากว่าค่ามาตรฐาน ส่วน 
ปริมาณโลหะหนักประเภทสารหนู (Arsenic) แคดเมียม (Cadmium) โครเมียม (Chromium) ทองแดง  (Copper) ตะกั่ว (Lead) และปรอท (Mercury) ในเถ้าตามมาตรฐาน พบว่าค่าที่ได้ต่ํากว่าค่ามาตรฐานที่ กําหนดไว้ทุกค่า ดังนั้น หากต้องการนําเถ้าไปใช้เป็นปุ๋ยอินทรีย์ตามมาตรฐานของกรมวิชาการเกษตร พ.ศ. 2548 จําเป็นต้องเพิ่มธาตุอาหารประเภทไนโตรเจน ฟอสฟอรัส และโพแทสเซียมให้สูงขึ้นก่อน จึงจะสามารถ ใช้เป็นปุ๋ยอินทรีย์ตามมาตรฐานดังกล่าวได้ นอกจากนี้หากจะนําเถ้าไปใช้เป็นวัสดุปรับปรุงดินก็สามารถทําได้  เนื่องจากในเถ้ามีโลหะหนักต่ํากว่าค่ามาตรฐานที่กําหนด อันจะส่งผลให้เกษตรกรลดค่าใช้จ่ายในการซื้อ ปุ๋ยเคมีประเภทนี้มาใช้ และเป็นการลดการนําเข้าปุ๋ยเคมีจากต่างประเทศอีกด้วย  "
กระบวนการผลิต และผลิตภัณฑ์  การนําเถ้าไปปรับปรุงคุณภาพดินเพื่อการเกษตร และการจัดการเถ้า  การจัดการเถ้า  ,,"การขนส่งลําเลียงเถ้าตั้งแต่จุดที่ออกจากห้องเผาไหม้และ Electrostatic Precipitator (ESP) ไปยัง จุดสุดท้ายจะใช้ระบบสายพานลําเลียงแบบปิดทั้งหมด โดยเถ้าที่ออกจากทางด้านหน้าห้องเผาไหม้จะตกลง ในรางน้ําที่รองรับไว้กลายเป็นเถ้าเปียก ในส่วนของเถ้าที่ออกจากบริเวณใต้ Drum, ใต้ห้อง Air heater, และ  ESP จะเป็นเถ้าแห้งซึ่งถูก Spray น้ําแล้ว จากนั้นจะถูกลําเลียงมาตามสายพานลําเลียง และผสมกับเถ้าเปียก  จากนั้นเถ้าทั้งหมดจะถูกขนส่งไปยังยุ้งโดยระบบสายพานลําเลียงแบบปิด ทั้งนี้ การฉีดพ่นน้ํา, และนํามาผสม กับเถ้าเปียก รวมถึงการลําเลียงด้วยระบบสายพานลําเลียงแบบปิด จะทําให้การฟุ้งกระจายของเถ้าเกิดขึ้นได้ น้อยมาก หรือไม่เกิดขึ้นเลย หลังจากนั้นจะมีรถบรรทุกของชาวไร่มารองรับออกไป โดยยุ้งรองรับมีขนาด ความจุ 60 ลูกบาศก์เมตร สามารถรองรับปริมาณขี้เถ้าได้ประมาณ 1-2 วัน หากไม่มีรถมารับซึ่งเป็น ระยะเวลาที่เพียงพอในการประสานงานกับบริษัท เกษตรไทยอุตสาหกรรมน้ําตาล จํากัด หรือชาวไร่ ในการ จัดหารถมารองรับได้ทัน สําหรับรถขนขี้เถ้า ทางโครงการจะกําหนดให้มีการคลุมผ้าใบก่อนออกนอกบริเวณ โครงการทุกคัน เพื่อป้องกันฝุ่นฟุ้งกระจายในขณะขนส่งออกนอกพื้นที่โครงการ  "
